id,check,status,blocks_prototype_order,digital_basis_or_limit,evidence,remaining_work
EL01,Firmware schematic logical pin contract,passed digitally,no,Current refined netlist b04e matched:70 logical firmware/pin/address/profile assertions;GPIO49 latch feedback and unusedGPIO52 retained,verification/system-contract.json,"Physical mates, supply-entry suitability and installed harness continuity remain separate checks"
EL02,Passive analogue tolerance and noise analysis,passed digitally,no,394752 enumerated linear corners and independent numerical cross-checks,electrical/analogue-simulation/evidence.json,"No IC model, source-impedance bound or gas-accuracy result"
EL03,ADC settling input current and real noise,physical testing pending,no,Conditional calculations only;100ms not universally proven,electrical/analogue-simulation/README.md,Measure actual impedance/settling/noise/power sequencing before accepting measurements
EL04,Power transient simulation model,missing evidence,no,Unchanged industrial TI model fails output sanity in local ngspice; not accepted as device evidence,electrical/power-simulation/README.md,Matching model remains unavailable; protection limits must be established by sourced analysis and then bench tests. USB transient gap is a separate blocking check.
EL05,USB source current permission,missing evidence,yes,Hardware latch feedback and stagedCC/BC policy implemented and routed;native0/0/0;finalXML70logical firmware assertions pass,electrical/usb-protection-research/README.md,Actual startup source current and transient behaviour remain unqualified; resolve EL11/EL13/EL14 with supported bounds and physical evidence
EL06,USB A-to-C and C-to-C physical operation,physical testing pending,no,Six-wire sink/detection architecture; no high-voltage request,../USB_CHARGING.md,Test orientations sources inrush brownout default/high permission and source changes
EL07,Cell and protected holder qualification,missing evidence,yes,Owner confirmed3400mAh but maker/model and charge limits unknown; J104open,electrical/measurement-and-bringup.md,Identify cells plug polarity NTC and holder charging/protection ratings
EL08,Charging temperature regulation and cutoff,physical testing pending,no,Charge inhibited until cell/NTC qualification,electrical/measurement-and-bringup.md,Staged real charge termination NTC timers temperatures and protection tests
EL09,Guition dual supply backfeed and boot straps,missing evidence,yes,LM66100 reverse isolation is local to analyzer; vendor schematic ties JP1 5V to IP5306 boost output and both hostUSBs shareinput,electrical/host-power-review/README.md,Qualify actual JP1 power-entry mode or documented input-side alternative; verify no dual-source backfeed and host boots in hardware shutdown window
EL10,Worst-case load and converter thermal budget,missing evidence,yes,Datasheet/design-target calculations; actual display/CO peaks not specified,electrical/electrical-audit.json,Final source/load envelope thermal/layout calculation and staged load measurements
PCB01,Exact pins footprints and assembly populations,missing evidence,yes,Canonicalselected parts and source/package records reconciled;171electrical footprints across two boards;148populatedelectronicparts with selectedordercodes;factory/manual/DNP/features separated,electrical/part-qualification.csv,"Exact configured Samtec availability/real mating interfaces, supplier population/process acceptance and actual load/effectivecapacitance qualification remain unestablished"
PCB02,Main placement geometry,passed digitally,no,Current0962 board: native geometric DRC0;169 physical references;153 height rows including147 fitted parts/allocations and6 DNPs.,electrical/routing-candidate/sensitive-layout-refinement/frozen-local-bundle/review/geometry-handoff-manifest.json,Source-matched final Fusion checks pass; actual component/mate fit and manufacturing process acceptance remain separate.
PCB03,Four-layer routing and ground returns,passed digitally,no,Current0962:0 native opens/violations/parity;29 prior power paths preserved;35 local paths connected;In1 one region/107 anchors;In2 eleven grounded regions/21 anchors;no lost contacts.,electrical/routing-candidate/sensitive-layout-refinement/root-final-review/README.md,Factory process acceptance and actual load/thermal/ripple/transient qualification remain separate;In2 is not a continuous ground plane
PCB04,Thin USB land edge and assembly process,correction required,yes,All USB nets routed; original GCT lands retain 0.10/0.15mm edge gaps and 0.15mm ground-tag annular rings,electrical/manufacturing-and-routing.md,Resolve fabrication/assembler acceptance or approved geometry; published JLC two-layer process does not satisfy these interfaces
PCB05,Final ERC DRC and schematic board parity,passed digitally,no,Current0962:0 violations/0 unconnected/0 parity;ERC1 exactly reviewed exception/0 unexpected/0 warnings;217 electrical and205 identity assertions;21 ERC rejection controls.,electrical/routing-candidate/sensitive-layout-refinement/root-final-review/root-contract-erc-review.json,ERC is not raw-zero: unused LM66100 ST-to-GND is manufacturer-permitted; process and physical qualification remain separate
PCB06,Manufacturing exports independent inspection,passed digitally,no,Current0962:44 export/connectivity +20 ledger +12 preservation +50 process checks pass;117 nets connected/no shorts;factory paste and27 fill/cap holes verified.,electrical/main-final-independent/final-0962ad86/verification-receipt.json,One explicit supplierprocess approval hold remains PCB08;thinUSB process gate PCB04 unchanged;no fabrication/assembly release
CAD01,Preserved design and approved exterior,passed digitally,no,Separate SystemReview; original PCBFit/A3 preserved,mechanical/README.md,Final archive/export must retain baseline
CAD02,Placement-checkpoint v2 purchased envelopes fit,passed digitally,no,All149 populated envelopes clear at1.60/1.76mm;169 footprints accounted; full J301 mating-box finding separate,mechanical/placement-checkpoint-v2/verification/placement-v2-height-coverage.json,Later routing/component moves need synchronized final STEP and height checks
CAD03,Preserved v11 board/enclosure integration,passed digitally,no,"Saved/reopened SystemReview v11 contains0962 PCB and two carrier through-openings. All2543 physical solids and153 height rows source-bound; actual/max component, J301 mate/unmate and selected service checks pass. Old R301 finding closed.",mechanical/final-local-checkpoint/final-handoff.json,"This preserved baseline does not qualify newly photo-located Guition interfaces or complete cables; CAD05 records current conflicts. Physical installation, wiring and sealing remain pending; old service checks use sampled paths."
CAD04,Both oxygen bodies and common thread,missing evidence,yes,Common thread measured; relative diameter/length known; alternate body checked digitally,mechanical/MEASUREMENTS.md,Confirm shoulder/seal/engagement distribution and both cable exits
CAD05,Connector mates bends and battery disconnect,correction required,yes,"Photo-correct Guition mate allocation intersects housing, carrier and holder. Full straight Harwin cable mates also leave inadequate axial bend space; direct SD withdrawal intersects housing/frame references. Useful carrier and wire studies are unadopted.",mechanical/connector-review/interface-checks.json;integration-photo/connector-candidates.md,"Resolve actual remote socket and complete finite-bend harnesses, internal supports, seal/closure and retained-frame SD service. Verify changed parts and removal paths before adoption; lower-profile termination candidates are not selected or qualified."
CAD06,Preserved v11 parameter regeneration range,passed digitally,no,"Final0962 assembly passes85/87mm width endpoint checks with rigid purchased geometry and exact85mm restoration. Checked service paths,14 nominal drivers,1.44/1.60/1.76mm board allocations and both oxygen reference envelopes.",mechanical/verification/final-local-checks/width-tests/W87/trial-summary.json,"Validated only within the tested parameter scope; no global minimum-wall, arbitrary resize or physical retention certificate."
CAD07,Preserved v11 printed-part diagnostic slices,passed digitally,no,"Final P01/P03/P06/P07 meshes: eight PLA/PETG H2D diagnostics, 50 checks pass; all selected layer sheets inspected. Closed meshes, open carrier apertures, zero support conflicts in three protected gas cores.",mechanical/verification/final-local-slices/verification-receipt.json,"Physical fit, support removal, insert retention, sealing and thermal tests remain pending. Carrier 5.50 mm CAD height quantizes to 5.40 mm deposition top at 0.20 mm layers. No production print release or printer job."
PHY01,First power and hardware forced shutdown,physical testing pending,no,Staged procedure prepared; no physical power applied,electrical/measurement-and-bringup.md,Inspect then current-limited rail tests and stalled-firmware held-button shutdown
PHY02,Actual module installation seals and thermal behaviour,physical testing pending,no,Reference models/coupons/digital access checks only,mechanical/MEASUREMENTS.md,Fit coupons real plugs inserts support removal leakage and temperature tests
PHY03,Reference-gas calibration and held-out validation,physical testing pending,no,Targets remain±0.2pointsO2±0.5pointsHe; no measured data,../SOFTWARE_CALIBRATION.md,MD62conditioning diverseO2/He mixtures repeatedruns environment uncertainty and independentvalidation
EL11,USB downstream transient survival,missing evidence,yes,45conditional charge cases reproduced;6.396V is not demonstrated failure or guaranteed worst case;protection lacks bounded transient evidence,electrical/ovp-transient-review/README.md,Qualify explicit source/fault envelope on representative chain or obtain supported maximum overshoot/charge bound;TPS16416requires deliberatecurrent/startup redesign
PCB07,Published four-layer stackup choice,passed digitally,no,JLC04161H-3313 published stackup bound in native board;1.6mm nominal with1.44..1.76mm finished tolerance,electrical/stackup-review.md,Supplier job acceptance and final plane inspection pending
SW13,Qualified charging standby and true-off behaviour,passed digitally,no,460 combined scoped ASan/UBSan assertions;4 worker maintenance races plus backlight TSan;6 virtual hours each legacy DCP/CDP;production charging inhibited,software/power/input-isolation/README.md,Real power-state transitions and qualification remain untested; cold/depleted recovery tracked separately in EL13
EL12,Screen harness mating current and supply budget,missing evidence,yes,"Matched main-side Samtec insertion tolerances,26 logical pins and48 conditional drop scenarios audited. Owner measured Guition bare header tips13.4mm from frontglass; this does not qualify the remote socket or full harness.",electrical/host-harness-review/README.md,"Confirm exact configured parts, Guition post/seating/plating, remote unkeyed termination, complete free cable length, bends/strain relief, hot branch-current capacity, SD/write peaks and spare3.3V supply."
EL13,Cold depleted-pack and true-off USB recovery,missing evidence,yes,Host-alive standby requires startup and battery reserve; genuinely off default branch is nominal50mA and cannot authorize higher current,software/power/off-charge-review/standby-implementation.md,Establish BQ reset behaviour actual startup load rail-rise timing and protected-pack recovery; standby is not proof of cold recovery
EL14,USB Default PSD and legacy SDP actual input current,missing evidence,yes,NativeC PSD500mA explicit;legacyA SDP500mA notestablished;50mA limiter and100mA register are ceilings notactual suspend draw,electrical/usb-default-current-review/README.md,Establish source classification and measured/full-corner quiescent draw; no claim of universal Default or legacy suspend compliance
SW14,Explicit USB input isolation and PG-independent source detection,passed digitally,no,Verified HIZ/readback and PG-independent requalification; attachment-event races corrected; current full SD-integrated P4 builds and53 normal/sanitized host targets pass,software/power/input-isolation/README.md,Actual current and transition timing untested; hardware-off and stalled-firmware source limits remain separate holds
PCB08,Main filled/capped via manufacturing process,missing evidence,yes,Final27-hole table matched to native identities/drills;24thermal+3signal;factorysubsetpaste checked and C706DNPaperture excluded,electrical/routing-candidate/final-cleanup/fill-cap-process/README.md,Obtain exactselected-hole resinfill/coppercap/planarity/voiding/stencil/double-sidedreflow and assembler acceptance before ordering
CAD08,Exact heat-set inserts and local structural walls,passed digitally,no,"Ten CNC Kitchen TC-M2x3.0 and four VORON M3x5x4 inserts;local crest walls, service, drivers and board-thickness checks pass. Preserved v10 reopened; final v11 retains exact inserts with source-matched PCB.",mechanical/exact-inserts-checkpoint/root-archive-review.json,"Physical pilots, insert retention and screw fit/strength remain pending. Generic screw shafts are reference thread representations."
EL15,Charger bootstrap REGN and CO boost critical layout,passed digitally,no,"Current0962 implements scoped corrections:bootstrap1.36mm,REGN2.92mm,CO feedback1.04mm,output cap1.60mm;direct front ground return.29 previous power paths retained;35 local paths connected;native0/0/0;CAM and final CAD pass.",electrical/routing-candidate/sensitive-layout-refinement/root-final-review/README.md,"Regulator startup/stability/ripple, C107 effective capacitance/startup demand and R504 monitor pickup remain physical testing pending. Path length alone does not prove electrical performance."
SW15,CO environmental qualification and unavailable-state propagation,passed digitally,no,CO gate rejects missing/stale/nonfinite/out-of-range environment and stale UART;300s interface wait;28 portable +11 actual-worker +5 missing-UART assertions. Independent O2/He and optional-sensor OTA health preserved.,software/co-environment/evidence/receipt.json,Physical sample conditions and CO accuracy remain unqualified; manufacturer excludes applications involving human safety. Environment gating cannot remove this intended-use restriction.
CAD09,Preserved v11 STEP export equivalence,missing evidence,no,STEP count/overall bounds match2543 solids;53998 sampled distances and27 selected sections fit the existing0.02mm diagnostic. Strict1ppm volume test fails at1.434ppm;one underlying manifold plane is unmatched.,mechanical/final-local-checkpoint/step-disposition.json,Native F3D is the exact reopened authoritative model. STEP is a limited reference export; sampled checks do not establish full per-body equivalence. Do not use it as an independently qualified manufacturing master.
SW16,Optional SD logs and analysis/calibration session ownership,passed digitally,no,Schema2 result/raw/event logs; real file writer/format tests; bounded queue; failed close/unmount and actual LVGL transition regressions; NVS layout unchanged,software/sd-card/evidence/receipt.json,"Actual media timing, filesystem resilience, write-current peaks and abrupt power loss remain physical tests"
SW17,Shared SDMMC card/C6 lifecycle and maintenance,passed digitally,no,23 actual coordinator/checked-patch tests; source-pinned build substitutions preserve managed originals; TSan/logger/actual NVS-maintenance tests; other-slot lifetime retained,software/sd-card/README.md,"Real SD plus Wi-Fi workload, startup and cancellation latency, live heap and power measurements remain pending"
PHY04,Onboard SD with complete-device load and service,physical testing pending,no,"Primary board pin/supply assignment, software checks and photo position; no physical card accessed or formatted",software/sd-card/README.md,"Fresh card fit/filesystem, simultaneous Wi-Fi and logging, live memory, card voltage/current, safe eject, forced cutoff and data recovery"
